Zip Code,Total Population,American Indian & Alaska Native,% American Indian & Alaska Native,Asian,% Asian,Black or African American,% Black or African American,Native Hawaiian & Other Pacific Islander,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),% White (Not Hispanic or Latino),Some Other Race,% Some Other Race,Two or More Races,% Two or More Races,Hispanic or Latino,% Hispanic or Latino
*City of L.A.*,,40695,1.05,458721,11.82,332173,8.56,5709,0.15,1069141,27.55,952377,24.54,493491,12.72,1828315,47.11
90001,,1226,2.13,348,0.6,4295,7.45,13,0.02,373,0.65,23449,40.67,12037,20.88,52642,91.31
90002,,1974,3.72,611,1.15,8355,15.73,53,0.1,200,0.38,20939,39.43,8870,16.7,43766,82.41
90003,,598,0.8,350,0.47,12352,16.46,0,0,354,0.47,35695,47.58,13140,17.51,61179,81.55
90004,,741,1.26,14584,24.79,2619,4.45,68,0.12,12108,20.58,18307,31.12,5495,9.34,27410,46.59
90005,,640,1.7,12305,32.59,2006,5.31,14,0.04,3819,10.12,10808,28.63,4610,12.21,18603,49.27
90006,,985,1.74,10370,18.31,1669,2.95,118,0.21,2911,5.14,22976,40.57,7266,12.83,41030,72.46
90007,,466,1.14,7733,18.86,3535,8.62,43,0.1,6508,15.87,10676,26.04,5191,12.66,22109,53.92
90008,,337,1.02,991,3,21047,63.63,36,0.11,1867,5.64,5113,15.46,2423,7.33,8702,26.31
90010,,39,0.93,2775,66.31,230,5.5,69,1.65,700,16.73,178,4.25,91,2.17,329,7.86
90011,,2013,1.9,660,0.62,6092,5.74,287,0.27,801,0.76,52659,49.66,18685,17.62,97669,92.1
90012,,371,0.97,13807,35.93,5071,13.2,39,0.1,7160,18.63,6448,16.78,3467,9.02,10575,27.52
90013,,346,2.37,2055,14.09,4039,27.69,129,0.88,4023,27.58,1117,7.66,2152,14.75,3492,23.94
90014,,25,0.27,2210,23.83,1925,20.76,25,0.27,2531,27.29,1265,13.64,712,7.68,2372,25.58
90015,,637,2.49,5197,20.34,2315,9.06,0,0,3622,14.17,6239,24.41,2834,11.09,13400,52.44
90016,,98,0.21,2111,4.46,13028,27.54,34,0.07,4909,10.38,9882,20.89,7599,16.06,25816,54.57
90017,,238,0.83,5062,17.6,3699,12.86,0,0,3246,11.29,10476,36.43,1761,6.12,16444,57.19
90018,,273,0.55,3110,6.23,12125,24.3,88,0.18,3917,7.85,14828,29.72,5927,11.88,29284,58.69
90019,,339,0.57,10302,17.34,10624,17.88,195,0.33,10399,17.5,12808,21.56,7024,11.82,25847,43.51
90020,,306,0.8,17402,45.32,2718,7.08,25,0.07,4440,11.56,7812,20.34,2765,7.2,12925,33.66
90021,,86,3.09,195,7.01,595,21.4,0,0,547,19.67,778,27.98,342,12.3,1336,48.04
90023,,796,1.79,438,0.98,462,1.04,3,0.01,798,1.79,25894,58.11,5929,13.31,42657,95.73
90024,,160,0.32,13079,25.95,2305,4.57,128,0.25,24930,49.47,2576,5.11,4555,9.04,6599,13.1
90025,,73,0.16,10062,22.65,1542,3.47,30,0.07,24462,55.06,1526,3.43,3851,8.67,5626,12.66
90026,,764,1.18,8411,12.99,2449,3.78,267,0.41,19428,30,20833,32.17,6338,9.79,31425,48.52
90027,,121,0.26,5403,11.81,1600,3.5,31,0.07,26918,58.82,5387,11.77,3924,8.57,10063,21.99
90028,,380,1.23,4122,13.3,2773,8.95,0,0,13097,42.27,5210,16.82,3136,10.12,8898,28.72
90029,,243,0.7,5615,16.21,1094,3.16,87,0.25,9408,27.15,12994,37.5,2731,7.88,17692,51.06
90031,,551,1.47,10896,29.09,819,2.19,239,0.64,3099,8.27,15360,41.01,2438,6.51,22113,59.04
90032,,593,1.32,5670,12.63,1256,2.8,4,0.01,3997,8.91,19600,43.67,6023,13.42,33540,74.73
90033,,906,1.9,2151,4.51,907,1.9,61,0.13,1308,2.74,29454,61.81,4898,10.28,43099,90.44
90034,,501,0.91,10873,19.75,5161,9.37,129,0.23,21846,39.68,6523,11.85,6645,12.07,14246,25.87
90035,,60,0.23,1767,6.64,1899,7.14,43,0.16,17549,65.99,1769,6.65,2607,9.8,3541,13.31
90036,,140,0.37,7222,19.15,2388,6.33,24,0.06,20902,55.42,1477,3.92,3754,9.95,5146,13.65
90037,,1558,2.26,901,1.3,10654,15.43,90,0.13,1517,2.2,28713,41.57,8213,11.89,55159,79.87
90038,,426,1.52,1695,6.06,1910,6.83,101,0.36,8434,30.14,8877,31.73,3716,13.28,14620,52.25
90039,,542,1.92,5772,20.44,452,1.6,9,0.03,11795,41.76,3680,13.03,3658,12.95,8788,31.11
90041,,471,1.66,7148,25.24,574,2.03,31,0.11,9015,31.83,3830,13.52,4393,15.51,9902,34.96
90042,,1935,3.27,8408,14.21,1283,2.17,14,0.02,13105,22.16,15812,26.73,10733,18.15,34183,57.79
90043,,296,0.67,936,2.11,26642,59.92,119,0.27,2862,6.44,5480,12.33,5006,11.26,11744,26.41
90044,,995,1.01,899,0.91,30985,31.3,118,0.12,1175,1.19,32436,32.77,16664,16.83,65034,65.7
90045,,450,1.09,6130,14.91,3601,8.76,76,0.18,20329,49.43,1670,4.06,6036,14.68,8000,19.45
90046,,178,0.37,3348,6.95,2654,5.51,62,0.13,31745,65.9,2155,4.47,5700,11.83,7432,15.43
90047,,548,1.05,491,0.94,27004,51.73,423,0.81,1253,2.4,11529,22.09,5301,10.16,21532,41.25
90048,,16,0.08,1474,7.22,819,4.01,0,0,15177,74.36,720,3.53,1738,8.52,1629,7.98
90049,,39,0.11,3003,8.38,528,1.47,9,0.03,27259,76.1,476,1.33,3427,9.57,2932,8.19
90056,,138,1.68,361,4.39,5285,64.26,0,0,924,11.23,335,4.07,1000,12.16,920,11.19
90057,,1409,2.99,8414,17.85,3173,6.73,36,0.08,2711,5.75,20010,42.45,3623,7.69,32128,68.15
90058,,0,0,15,0.49,504,16.53,1,0.03,328,10.76,1018,33.39,178,5.84,2110,69.2
90059,,546,1.38,209,0.53,10320,26.15,10,0.03,520,1.32,14269,36.15,5814,14.73,27628,70
90061,,943,3.29,240,0.84,7639,26.67,3,0.01,405,1.41,8285,28.92,5092,17.78,19869,69.36
90062,,524,1.56,772,2.3,9036,26.95,82,0.24,1131,3.37,11772,35.11,4060,12.11,21555,64.29
90063,,1088,2.09,971,1.87,302,0.58,40,0.08,1631,3.14,31782,61.11,5330,10.25,48835,93.9
90064,,51,0.2,4902,18.89,619,2.38,60,0.23,14748,56.82,1348,5.19,2967,11.43,3737,14.4
90065,,1084,2.41,6643,14.8,817,1.82,6,0.01,12420,27.66,12600,28.06,6578,14.65,23264,51.82
90066,,705,1.3,7989,14.76,2639,4.87,70,0.13,26391,48.74,5220,9.64,6038,11.15,13822,25.53
90067,,0,0,473,17.83,61,2.3,0,0,1825,68.79,73,2.75,221,8.33,166,6.26
90068,,31,0.15,1281,6.08,1419,6.74,17,0.08,15031,71.36,692,3.29,1614,7.66,2521,11.97
90069,,0,0,1220,6.09,521,2.6,0,0,15472,77.19,376,1.88,1563,7.8,1565,7.81
90071,,0,0,0,0,87,27.8,0,0,44,14.06,87,27.8,87,27.8,138,44.09
90077,,0,0,539,6.85,180,2.29,0,0,6156,78.24,163,2.07,724,9.2,467,5.94
90089,,22,0.53,1091,26.2,409,9.82,0,0,1658,39.82,355,8.53,449,10.78,653,15.68
90094,,0,0,2123,17.85,889,7.48,0,0,6575,55.29,409,3.44,1502,12.63,1733,14.57
90210,,8,0.04,1101,5.74,320,1.67,0,0,15604,81.36,332,1.73,1492,7.78,1145,5.97
90230,,72,0.22,4521,14.13,2832,8.85,87,0.27,12660,39.56,2361,7.38,5352,16.72,9649,30.15
90248,,73,0.64,3827,33.41,2150,18.77,31,0.27,720,6.29,2244,19.59,1233,10.77,3864,33.74
90272,,0,0,1596,7.49,172,0.81,2,0.01,17072,80.16,143,0.67,1798,8.44,961,4.51
90290,,0,0,238,4.49,128,2.42,0,0,3972,74.94,345,6.51,316,5.96,448,8.45
90291,,316,1.23,1247,4.86,1495,5.83,40,0.16,17029,66.37,1464,5.71,2443,9.52,4396,17.13
90292,,0,0,2420,9.89,1604,6.55,32,0.13,16099,65.76,396,1.62,2528,10.33,2590,10.58
90293,,44,0.34,1488,11.41,465,3.57,13,0.1,8555,65.61,466,3.57,1138,8.73,2200,16.87
90402,,39,0.33,1035,8.76,66,0.56,0,0,8694,73.58,120,1.02,1282,10.85,1383,11.7
90501,,135,0.32,11634,27.35,2378,5.59,77,0.18,8468,19.91,9595,22.56,6064,14.26,18256,42.92
90502,,165,0.9,7398,40.14,1369,7.43,85,0.46,2492,13.52,3320,18.01,1963,10.65,6413,34.8
90710,,134,0.49,5973,21.71,3414,12.41,25,0.09,4722,17.16,4244,15.42,4952,18,12554,45.62
90731,,600,0.95,3701,5.83,3366,5.31,333,0.52,16728,26.37,11442,18.04,10542,16.62,36600,57.7
90732,,40,0.18,2333,10.57,1015,4.6,38,0.17,10730,48.6,1594,7.22,3212,14.55,7064,32
90744,,401,0.74,1840,3.39,1918,3.53,270,0.5,1942,3.58,12386,22.82,6328,11.66,47987,88.41
90810,,426,1.17,8573,23.61,3089,8.51,623,1.72,2362,6.51,7804,21.5,3836,10.57,20479,56.41
91040,,39,0.19,2084,9.97,607,2.9,6,0.03,12729,60.87,993,4.75,2877,13.76,4657,22.27
91042,,226,0.83,2492,9.19,518,1.91,37,0.14,15904,58.65,2610,9.62,3849,14.19,7153,26.38
91303,,425,1.39,3245,10.6,1179,3.85,0,0,7473,24.41,11271,36.82,3670,11.99,18126,59.21
91304,,440,0.81,8639,15.89,2630,4.84,21,0.04,17464,32.12,14306,26.31,5304,9.76,23319,42.89
91306,,424,0.86,9066,18.33,1632,3.3,24,0.05,11993,24.25,16133,32.62,5578,11.28,24545,49.63
91307,,105,0.41,4522,17.83,1148,4.53,16,0.06,14465,57.02,1676,6.61,2424,9.56,3899,15.37
91311,,224,0.56,7194,17.9,2485,6.18,59,0.15,17468,43.46,4128,10.27,5575,13.87,11250,27.99
91316,,365,1.06,2684,7.82,727,2.12,98,0.29,11357,33.11,5860,17.08,7636,22.26,18443,53.76
91324,,263,0.88,5978,20.1,1697,5.71,40,0.13,9548,32.1,7746,26.04,2882,9.69,11485,38.61
91325,,155,0.44,5719,16.09,2045,5.75,74,0.21,12766,35.92,8709,24.51,3913,11.01,13524,38.06
91326,,258,0.71,11410,31.26,3026,8.29,45,0.12,15138,41.47,1956,5.36,3505,9.6,4897,13.42
91330,,5,0.19,572,21.19,228,8.45,3,0.11,926,34.31,292,10.82,277,10.26,826,30.6
91331,,1007,1.01,4574,4.58,1902,1.91,88,0.09,4498,4.51,36389,36.46,21910,21.95,87853,88.03
91335,,647,0.84,9605,12.45,3190,4.13,222,0.29,21210,27.49,25698,33.31,7495,9.71,40540,52.54
91340,,387,1.11,929,2.67,694,1.99,0,0,1200,3.45,12782,36.71,6620,19.01,31842,91.44
91342,,1374,1.48,7151,7.72,3511,3.79,243,0.26,11664,12.6,24061,25.99,16410,17.73,68855,74.37
91343,,715,1.13,8564,13.55,3179,5.03,44,0.07,12656,20.03,21708,34.35,9276,14.68,37511,59.36
91344,,415,0.77,9411,17.47,1620,3.01,0,0,23648,43.9,6089,11.3,7242,13.45,17103,31.75
91345,,315,1.7,1907,10.32,375,2.03,264,1.43,3198,17.3,6857,37.1,2952,15.97,12411,67.16
91352,,526,1.15,2209,4.84,1015,2.23,140,0.31,9568,20.98,12765,27.99,10218,22.41,31826,69.79
91356,,127,0.42,2245,7.34,1895,6.19,8,0.03,19367,63.29,2407,7.87,3216,10.51,5070,16.57
91364,,83,0.29,2971,10.33,1610,5.6,37,0.13,18316,63.67,1568,5.45,2774,9.64,3783,13.15
91367,,205,0.46,5762,12.84,3251,7.25,44,0.1,26646,59.4,2198,4.9,3979,8.87,6933,15.45
91401,,456,1.16,1885,4.81,2122,5.42,38,0.1,16138,41.19,7716,19.69,6560,16.74,17301,44.16
91402,,512,0.75,10311,15.18,2196,3.23,58,0.09,7246,10.67,37185,54.73,5189,7.64,47590,70.05
91403,,66,0.25,2108,8.14,1566,6.05,23,0.09,16523,63.83,1127,4.35,3032,11.71,4288,16.56
91405,,461,0.83,4985,8.99,2371,4.28,7,0.01,13099,23.62,19386,34.96,7804,14.07,33815,60.98
91406,,486,0.91,3961,7.43,2348,4.41,19,0.04,14155,26.57,17537,32.92,8347,15.67,30707,57.64
91411,,117,0.49,2100,8.86,1721,7.26,29,0.12,7805,32.95,5298,22.36,3501,14.78,11299,47.7
91423,,48,0.15,1732,5.45,1580,4.97,27,0.08,21614,68,972,3.06,4233,13.32,4413,13.88
91436,,64,0.4,729,4.5,338,2.09,17,0.11,13098,80.9,482,2.98,991,6.12,1254,7.75
91601,,68,0.19,3165,8.89,3479,9.77,61,0.17,15904,44.66,4540,12.75,4216,11.84,11778,33.07
91602,,83,0.42,1918,9.6,1433,7.17,89,0.45,11869,59.4,1428,7.15,2386,11.94,3709,18.56
91604,,93,0.29,2765,8.62,1366,4.26,0,0,22133,69.01,942,2.94,3544,11.05,3817,11.9
91605,,755,1.46,4375,8.47,1050,2.03,21,0.04,14070,27.24,14383,27.84,8388,16.24,31259,60.52
91606,,560,1.29,1720,3.95,2182,5.01,0,0,14704,33.76,10326,23.71,6511,14.95,23367,53.65
91607,,111,0.36,2513,8.18,2177,7.08,31,0.1,16936,55.11,2900,9.44,4561,14.84,7152,23.27